"order","relfirst","relsecond","tokenfirst","tokensecond","lemmafirst","lemmasecond","uposfirst","upossecond","hmLength","sentence","source","size"
"X-case","obl","case","toimittajan","kanssa","toimittaja","kanssa","NOUN","ADP","1","w182.10","tdt_all","15136"
"X-case","obl","case","tukku-","kautta","tukku","kautta","NOUN","ADP","3","w182.11","tdt_all","15136"
"X-case","nmod","case","yrityksen","ulkopuolelta","yritys","ulkopuolelta","NOUN","ADP","1","w182.14","tdt_all","15136"
"X-case","root","case","yrityksen","sisällä","yritys","sisällä","NOUN","ADP","1","w182.15","tdt_all","15136"
"case-X","case","nmod","sitten","vuoden","sitten","vuosi","ADP","NOUN","1","w198.2","tdt_all","15136"
"X-case","obl","case","Sean","ohella","Sean","ohella","PROPN","ADP","5","w198.3","tdt_all","15136"
"case-X","case","obl","sitten","Enamorado","sitten","Enamorado","ADV","PROPN","4","w198.13","tdt_all","15136"
"X-case","obl","case","internetin","kautta","internet","kautta","NOUN","ADP","1","w198.15","tdt_all","15136"
"X-case","nmod","case","ihmisoikeuksien","puolesta","ihmis#oikeus","puolesta","NOUN","ADP","1","wn020.1","tdt_all","15136"
"X-case","obl","case","uiguurien","puolesta","uiguuri","puolesta","NOUN","ADP","1","wn020.3","tdt_all","15136"
"X-case","obl","case","Kiasman","edestä","Kiasma","edestä","PROPN","ADP","1","wn020.4","tdt_all","15136"
"X-case","obl","case","Abdullah","mukaan","Abdullah","mukaan","PROPN","ADP","2","wn020.6","tdt_all","15136"
"X-case","obl","case","Levottomuuksien","vuoksi","levottomuus","vuoksi","NOUN","ADP","1","wn020.11","tdt_all","15136"
"X-case","obl","case","yritysten","kanssa","yritys","kanssa","NOUN","ADP","1","wn020.12","tdt_all","15136"
"X-case","obl","case","vuodesta","lähtien","vuosi","lähtien","NOUN","ADP","2","wn034.4","tdt_all","15136"
"X-case","obl","case","panostuksistaan","huolimatta","panostus","huolimatta","NOUN","ADP","1","wn034.4","tdt_all","15136"
"X-case","obl","case","sen","eteen","se","eteen","PRON","ADP","1","wn034.9","tdt_all","15136"
"X-case","obl","case","seurueen","mukana","seurue","mukana","NOUN","ADP","1","wn071.5","tdt_all","15136"
"X-case","nmod","case","Sen","sijaan","se","sijaan","PRON","ADP","1","wn071.6","tdt_all","15136"
"X-case","obl","case","työkiistatilanteen","vuoksi","työ#kiista#tilanne","vuoksi","NOUN","ADP","1","wn071.6","tdt_all","15136"
"case-X","case","nmod","lähellä","rajaa","lähellä","raja","ADP","NOUN","2","wn087.2","tdt_all","15136"
"X-case","obl","case","poliisilähteiden","mukaan","poliisi#lähde","mukaan","NOUN","ADP","1","wn087.5","tdt_all","15136"
"X-case","obl","case","lähteiden","mukaan","lähde","mukaan","NOUN","ADP","1","wn087.6","tdt_all","15136"
"X-case","obl","case","liikennettä","varten","liikenne","varten","NOUN","ADP","1","wn087.8","tdt_all","15136"
"X-case","obl","case","TGV-junia","varten","TGV#juna","varten","NOUN","ADP","1","wn087.9","tdt_all","15136"
"X-case","nmod","case","sohvaa","lukuunottamatta","sohva","lukuunottamatta","NOUN","ADP","4","b107.5","tdt_all","15136"
"X-case","obl","case","ohjaajaa","vastaan","ohjaaja","vastaan","NOUN","ADP","1","b107.20","tdt_all","15136"
"X-case","nmod","case","bloggaamisen","suhteen","bloggaaminen","suhteen","NOUN","ADP","1","b308.2","tdt_all","15136"
"X-case","nmod","case","sopeutumisprässin","läpi","sopeutumis#prässi","läpi","NOUN","ADP","2","b308.3","tdt_all","15136"
"X-case","obl","case","siivouksen","pariin","siivous","pariin","NOUN","ADP","3","b308.9","tdt_all","15136"
"X-case","obl","case","Hetki","sitten","hetki","sitten","NOUN","ADP","1","b308.12","tdt_all","15136"
"X-case","nmod","case","lumen","kera","lumi","kera","NOUN","ADP","1","b308.14","tdt_all","15136"
"X-case","obl","case","aika","sitten","aika","sitten","NOUN","ADP","1","b402.6","tdt_all","15136"
"X-case","parataxis","case","tiskipöydän","ääressä","tiski#pöytä","ääressä","NOUN","ADP","1","b402.8","tdt_all","15136"
"X-case","nmod","case","iltalenkin","jälkeen","ilta#lenkki","jälkeen","NOUN","ADP","1","b402.53","tdt_all","15136"
"X-case","nmod","case","iltateen","kanssa","ilta#tee","kanssa","NOUN","ADP","3","b402.53","tdt_all","15136"
"X-case","obl","case","peiton","alle","peitto","alle","NOUN","ADP","1","b402.54","tdt_all","15136"
"case-X","case","nmod","ennen","nukkumaanmenoa","ennen","nukkumaan#meno","ADP","NOUN","1","b402.63","tdt_all","15136"
"case-X","case","nmod","ennen","ylösnousua","ennen","ylösnousu","ADP","NOUN","1","b402.63","tdt_all","15136"
"X-case","nmod","case","niukkuuden","vuoksi","niukkuus","vuoksi","NOUN","ADP","1","b402.66","tdt_all","15136"
"X-case","obl","case","sen","sijaan","se","sijaan","PRON","ADP","1","b402.72","tdt_all","15136"
"X-case","obl","case","minkä","jälkeen","mikä","jälkeen","PRON","ADP","1","e1024.3","tdt_all","15136"
"X-case","obl","case","menettelyn","jälkeen","menettely","jälkeen","NOUN","ADP","1","e1024.4","tdt_all","15136"
"X-case","obl","case","Käsitykseni","mukaan","käsitys","mukaan","NOUN","ADP","1","e1024.5","tdt_all","15136"
"X-case","obl","case","ehdotuksen","kanssa","ehdotus","kanssa","NOUN","ADP","1","e1028.1","tdt_all","15136"
"X-case","obl","case","tupakan","suhteen","tupakka","suhteen","NOUN","ADP","1","e1028.2","tdt_all","15136"
"X-case","obl","case","sen","vuoksi","se","vuoksi","PRON","ADP","1","e1028.5","tdt_all","15136"
"X-case","obl","case","Sen","lisäksi","se","lisäksi","PRON","ADP","1","e1046.16","tdt_all","15136"
"X-case","obl","case","bruttokansantuotteen","rinnalle","brutto#kansan#tuote","rinta","NOUN","NOUN","1","e1046.22","tdt_all","15136"
"X-case","obl","case","yhdentymisprosessia","vasten","yhdentymis#prosessi","vasten","NOUN","ADP","1","e1073.1","tdt_all","15136"
"X-case","root","case","ulottuvuuden","välillä","ulottuvuus","välillä","NOUN","ADP","1","e1073.3","tdt_all","15136"
"X-case","obl","case","perustuslain","nojalla","perustus#laki","nojalla","NOUN","ADP","1","e1073.6","tdt_all","15136"
"X-case","obl","case","liittoneuvoston","kautta","liitto#neuvosto","kautta","NOUN","ADP","4","e1073.9","tdt_all","15136"
"case-X","case","obl","vasten","kasvoja","vasten","kasvot","ADP","NOUN","1","f501.2","tdt_all","15136"
"X-case","obl","case","latvoihin","saakka","latva","saakka","NOUN","ADP","1","f501.6","tdt_all","15136"
"X-case","advmod","case","Täällä","päin","täällä","päin","ADV","ADP","1","f501.8","tdt_all","15136"
"X-case","obl","case","sillan","alta","silta","alta","NOUN","ADP","1","f501.12","tdt_all","15136"
"X-case","obl","case","kaavun","alle","kaapu","alle","NOUN","ADP","1","f501.12","tdt_all","15136"
"X-case","obl","case","paitani","sisään","paita","sisään","NOUN","ADP","1","f501.14","tdt_all","15136"
"X-case","obl","case","väkijoukon","lävitse","väki#joukko","lävitse","NOUN","ADP","1","fC01.3","tdt_all","15136"
"X-case","obl","case","hänen","eteensä","hän","eteen","PRON","ADP","1","fC01.4","tdt_all","15136"
"X-case","obl","case","miehen","viereen","mies","viereen","NOUN","ADP","1","fC01.6","tdt_all","15136"
"X-case","obl","case","hänen","viereensä","hän","viereen","PRON","ADP","1","fC01.8","tdt_all","15136"
"X-case","obl","case","hänen","ohitseen","hän","ohitse","PRON","ADP","1","fC01.8","tdt_all","15136"
"X-case","obl","case","sen","päällä","se","päällä","PRON","ADP","1","fC01.27","tdt_all","15136"
"X-case","obl","case","täysikuuhun","mennessä","täysi#kuu","mennessä","NOUN","ADP","1","fD01.4","tdt_all","15136"
"X-case","obl","case","sienensukeltajien","pariin","sieni#sukeltaja","pariin","NOUN","ADP","1","fD01.6","tdt_all","15136"
"X-case","obl","case","rikkauksien","kanssa","rikkaus","kanssa","NOUN","ADP","1","fD01.12","tdt_all","15136"
"X-case","nmod","case","Hypatiaa","kohtaan","Hypatia","kohtaan","PROPN","ADP","1","fD01.18","tdt_all","15136"
"X-case","obl","case","saaren","luokse","saari","luokse","NOUN","ADP","1","fD01.24","tdt_all","15136"
"X-case","nmod","case","saaren","ympärillä","saari","ympärillä","NOUN","ADP","1","fD01.25","tdt_all","15136"
"X-case","obl","case","koesukelluksen","jälkeen","koe#sukellus","jälkeen","NOUN","ADP","1","fD01.26","tdt_all","15136"
"X-case","obl","case","reunan","yli","reuna","yli","NOUN","ADP","1","fD01.29","tdt_all","15136"
"X-case","obl","case","heidän","luokseen","hän","luokse","PRON","ADP","1","fD01.36","tdt_all","15136"
"X-case","obl","case","hänen","peräänsä","hän","perään","PRON","ADP","1","fD01.60","tdt_all","15136"
"X-case","obl","case","kaupungin","luokse","kaupunki","luokse","NOUN","ADP","1","fD01.61","tdt_all","15136"
"case-X","case","obl","kohti","kaupunkia","kohti","kaupunki","ADP","NOUN","4","fD01.61","tdt_all","15136"
"X-case","obl","case","veneen","luokse","vene","luokse","NOUN","ADP","1","fD01.63","tdt_all","15136"
"case-X","case","obl","ilman","kolikkoa","ilman","kolikko","ADP","NOUN","1","fD01.66","tdt_all","15136"
"X-case","nmod","case","joen","yli","joki","yli","NOUN","ADP","1","fD01.67","tdt_all","15136"
"case-X","case","obl","kohti","valtakuntaa","kohti","valta#kunta","ADP","NOUN","2","fD01.68","tdt_all","15136"
"X-case","nmod","case","pinnan","alle","pinta","alle","NOUN","ADP","1","fD01.69","tdt_all","15136"
"case-X","case","obl","ympäri","Kreikkaa","ympäri","Kreikka","ADP","PROPN","1","fD01.71","tdt_all","15136"
"X-case","obl","case","torin","poikki","tori","poikki","NOUN","ADP","1","h1044.19","tdt_all","15136"
"X-case","obl","case","pörssikesäleirinsä","kanssa","pörssi#kesä#leiri","kanssa","NOUN","ADP","1","h1053.14","tdt_all","15136"
"X-case","obl","case","niiden","varaan","se","varaan","PRON","ADP","1","h1053.20","tdt_all","15136"
"X-case","obl","case","otsikon","alle","otsikko","alle","NOUN","ADP","4","j014.11","tdt_all","15136"
"X-case","obl","case","otsikon","alla","otsikko","alla","NOUN","ADP","4","j014.14","tdt_all","15136"
"X-case","obl","case","otsikon","alle","otsikko","alle","NOUN","ADP","4","j014.14","tdt_all","15136"
"X-case","nmod","case","Komission","puolesta","komissio","puolesta","NOUN","ADP","1","j014.18","tdt_all","15136"
"X-case","nmod","case","tuontia","varten","tuonti","varten","NOUN","ADP","1","j015.1","tdt_all","15136"
"X-case","obl","case","tuontia","varten","tuonti","varten","NOUN","ADP","1","j015.2","tdt_all","15136"
"X-case","obl","case","tautia","vastaan","tauti","vastaan","NOUN","ADP","1","j015.5","tdt_all","15136"
"X-case","nmod","case","tautia","vastaan","tauti","vastaan","NOUN","ADP","1","j015.6","tdt_all","15136"
"X-case","obl","case","vuoteen","asti","vuosi","asti","NOUN","ADP","2","j015.6","tdt_all","15136"
"X-case","nmod","case","Komission","puolesta","komissio","puolesta","NOUN","ADP","1","j015.22","tdt_all","15136"
"X-case","obl","case","vuodenvaihteesta","saakka","vuoden#vaihde","saakka","NOUN","ADP","1","s101.4","tdt_all","15136"
"X-case","obl","case","aikaa","sitten","aika","sitten","NOUN","ADP","1","s101.4","tdt_all","15136"
"X-case","nmod","case","toiminnan","ohella","toiminta","ohella","NOUN","ADP","1","s101.7","tdt_all","15136"
"X-case","root","case","sopassa","mukana","soppa","mukana","NOUN","ADP","1","s101.8","tdt_all","15136"
"case-X","case","nmod","ennen","veroja","ennen","vero","ADP","NOUN","1","t008.3","tdt_all","15136"
"case-X","case","nmod","ilman","kertaeriä","ilman","kerta#erä","ADP","NOUN","1","t008.6","tdt_all","15136"
"case-X","case","nmod","ennen","veroja","ennen","vero","ADP","NOUN","1","t008.8","tdt_all","15136"
"case-X","case","nmod","ilman","kertaeriä","ilman","kerta#erä","ADP","NOUN","1","t008.9","tdt_all","15136"
"X-case","obl","case","Kustannuspaineista","huolimatta","kustannus#paine","huolimatta","NOUN","ADP","1","t008.10","tdt_all","15136"
"case-X","case","nmod","ilman","kertaeriä","ilman","kerta#erä","ADP","NOUN","1","t008.14","tdt_all","15136"
"X-case","obl","case","arvion","mukaan","arvio","mukaan","NOUN","ADP","1","t008.15","tdt_all","15136"
"X-case","obl","case","UPM:n","mukaan","UPM","mukaan","PROPN","ADP","1","t008.16","tdt_all","15136"
"X-case","obl","case","viikkoa","sitten","viikko","sitten","NOUN","ADP","1","t015.2","tdt_all","15136"
"X-case","obl","case","viikkoa","sitten","viikko","sitten","NOUN","ADP","1","t015.3","tdt_all","15136"
"X-case","obl","case","Spiegelin","mukaan","Spiegel","mukaan","PROPN","ADP","1","t015.4","tdt_all","15136"
"X-case","obl","case","maiden","välillä","maa","välillä","NOUN","ADP","1","t015.4","tdt_all","15136"
"X-case","obl","case","Sen","perässä","se","perässä","PRON","ADP","1","t015.6","tdt_all","15136"
"X-case","obl","case","Asiantuntijoiden","mukaan","asian#tuntija","mukaan","NOUN","ADP","1","t015.9","tdt_all","15136"
"case-X","case","nmod","kohti","syntyä","kohti","synty","ADP","NOUN","2","t015.10","tdt_all","15136"
"X-case","obl","case","Spiegelin","mukaan","Spiegel","mukaan","PROPN","ADP","1","t015.15","tdt_all","15136"
"X-case","obl","case","minkä","vuoksi","mikä","vuoksi","PRON","ADP","1","t029.2","tdt_all","15136"
"X-case","obl","case","suunnitelman","mukaan","suunnitelma","mukaan","NOUN","ADP","1","t029.3","tdt_all","15136"
"X-case","obl","case","hiilidioksidipäästöjen","mukaan","hiili#dioksidi#päästö","mukaan","NOUN","ADP","1","t029.5","tdt_all","15136"
"X-case","obl","case","Autobildin","mukaan","Autobild","mukaan","PROPN","ADP","1","t029.13","tdt_all","15136"
"X-case","obl","case","markkinahuhujen","mukaan","markkina#huhu","mukaan","NOUN","ADP","1","t031.3","tdt_all","15136"
"X-case","obl","case","Kutsun","mukaan","kutsu","mukaan","NOUN","ADP","1","t031.7","tdt_all","15136"
"case-X","case","obl","ennen","siirtymistään","ennen","siirtyminen","ADP","NOUN","1","u011.6","tdt_all","15136"
"X-case","obl","case","työnsä","ohessa","työ","ohessa","NOUN","ADP","1","u011.7","tdt_all","15136"
"X-case","obl","case","ammattikorkeakoulun","kanssa","ammatti#korkea#koulu","kanssa","NOUN","ADP","5","u027.3","tdt_all","15136"
"X-case","obl","case","Lönnbergin","mukaan","Lönnberg","mukaan","PROPN","ADP","1","u027.9","tdt_all","15136"
"X-case","obl","case","tietojärjestelmien","suhteen","tieto#järjestelmä","suhteen","NOUN","ADP","1","u027.13","tdt_all","15136"
"X-case","obl","case","toistensa","kanssa","toinen","kanssa","PRON","ADP","1","u027.16","tdt_all","15136"
"X-case","nmod","case","potilaan","sijaan","potilas","sijaan","NOUN","ADP","3","u027.19","tdt_all","15136"
"X-case","conj","case","yritysten","kanssa","yritys","kanssa","NOUN","ADP","1","u050.3","tdt_all","15136"
