"order","relfirst","relsecond","tokenfirst","tokensecond","lemmafirst","lemmasecond","uposfirst","upossecond","hmLength","sentence","source","size"
"X-case","xcomp:ds","case","keskustella","ilman","keskustella","ilman","VERB","ADP","2","f604.24","tdt_all_gov_target","15135"
"case-X","case","root","päästä","juhlimme","päästä","juhlia","ADP","VERB","1","f604.28","tdt_all_gov_target","15135"
"X-case","xcomp:ds","case","pysyä","tasalla","pysyä","tasalla","VERB","ADP","2","fC04.8","tdt_all_gov_target","15135"
"X-case","advcl","case","vähenevät","vuoksi","vähetä","vuoksi","VERB","ADP","8","fC04.10","tdt_all_gov_target","15135"
"case-X","case","conj","myötä","työilmapiirin","myötä","työ#ilma#piiri","ADP","NOUN","2","fC04.10","tdt_all_gov_target","15135"
"X-case","root","case","kuuluu","lävitse","kuulua","lävitse","VERB","ADP","3","fC04.14","tdt_all_gov_target","15135"
"X-case","conj","case","leviämistä","lisäksi","leviäminen","lisäksi","NOUN","ADP","2","fC04.17","tdt_all_gov_target","15135"
"case-X","case","root","sijaan","nostettiin","sijaan","nostaa","ADP","VERB","3","fC04.24","tdt_all_gov_target","15135"
"X-case","root","case","hereillä","keskellä","hereillä","keskellä","ADV","ADP","1","h1008.1","tdt_all_gov_target","15135"
"X-case","root","case","menossa","paitsi","mennä","paitsi","VERB","ADP","2","h1008.2","tdt_all_gov_target","15135"
"case-X","case","root","kanssa","tuli","kanssa","tulla","ADP","VERB","2","h1008.9","tdt_all_gov_target","15135"
"X-case","root","case","saa","ilman","saada","ilman","VERB","ADP","2","h1014.21","tdt_all_gov_target","15135"
"X-case","root","case","saa","mukaan","saada","mukaan","VERB","ADP","6","h1016.7","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","lastattu","mukaan","lastata","ADP","VERB","3","h1034.14","tdt_all_gov_target","15135"
"X-case","root","case","Leikkaa","lähelle","leikata","lähelle","VERB","ADP","4","h1034.16","tdt_all_gov_target","15135"
"X-case","root","case","Leikkaa","saakka","leikata","saakka","VERB","ADP","5","h1034.16","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","tulee","mukaan","tulla","ADP","VERB","3","h1042.10","tdt_all_gov_target","15135"
"X-case","root","case","Huoltoa","jälkeen","huolto","jälkeen","NOUN","ADP","4","h1042.15","tdt_all_gov_target","15135"
"X-case","xcomp:ds","case","harhailemasta","pitkin","harhailla","pitkin","VERB","ADP","3","h1042.24","tdt_all_gov_target","15135"
"X-case","xcomp:ds","case","harhailemasta","kanssas","harhailla","kanssa","VERB","ADP","4","h1071.6","tdt_all_gov_target","15135"
"X-case","root","case","Katselin","sitten","katsella","sitten","VERB","ADP","9","h1071.10","tdt_all_gov_target","15135"
"X-case","nmod","case","eläinlääkärintarkastuksista","varten","eläin#lääkäri#tarkastus","varten","NOUN","ADP","6","j002.2","tdt_all_gov_target","15135"
"X-case","nmod","case","eläinlääkärin","varten","eläin#lääkäri","varten","NOUN","ADP","14","j002.2","tdt_all_gov_target","15135"
"case-X","case","parataxis","vuoksi","hyväksyttävä","vuoksi","hyväksyä","ADP","VERB","2","j002.2","tdt_all_gov_target","15135"
"case-X","case","root","lisäksi","sovelletaan","lisäksi","soveltaa","ADP","VERB","1","j002.9","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","suoritettava","ennen","suorittaa","ennen","VERB","ADP","1","j002.11","tdt_all_gov_target","15135"
"X-case","root","case","viranomaisella","ennen","viran#omainen","ennen","NOUN","ADP","6","j002.14","tdt_all_gov_target","15135"
"X-case","conj","case","saatu","puitteissa","saada","puitteissa","VERB","ADP","2","j002.15","tdt_all_gov_target","15135"
"case-X","case","acl:relcl","mukaan","sallittua","mukaan","sallittu","ADP","ADJ","1","j002.15","tdt_all_gov_target","15135"
"case-X","case","acl","välillä","tehtyjen","välillä","tehdä","ADP","VERB","1","j002.29","tdt_all_gov_target","15135"
"X-case","root","case","antaa","ennen","antaa","ennen","VERB","ADP","2","j002.34","tdt_all_gov_target","15135"
"case-X","case","root","puolesta","I.","puolesta","I.","ADP","PROPN","1","j002.45","tdt_all_gov_target","15135"
"X-case","parataxis","case","Matkalla","kohti","matka","kohti","NOUN","ADP","1","s106.1","tdt_all_gov_target","15135"
"case-X","case","root","suhteen","vaikea","suhteen","vaikea","ADP","ADJ","5","s106.23","tdt_all_gov_target","15135"
"case-X","case","root","suhteen","kelpaa","suhteen","kelvata","ADP","VERB","3","s106.25","tdt_all_gov_target","15135"
"case-X","case","root","kanssa","auttaa","kanssa","auttaa","ADP","VERB","1","s106.27","tdt_all_gov_target","15135"
"X-case","obl","case","onnistumisen","ilman","onnistuminen","ilman","NOUN","ADP","1","s106.33","tdt_all_gov_target","15135"
"case-X","case","root","puolesta","puhuu","puolesta","puhua","ADP","VERB","1","s106.33","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","tungetaan","sisään","tunkea","sisään","VERB","ADP","2","s106.36","tdt_all_gov_target","15135"
"X-case","advcl","case","valmistamisen","sitten","valmistaminen","sitten","NOUN","ADP","2","s106.41","tdt_all_gov_target","15135"
"case-X","case","root","huolimatta","näen","huolimatta","nähdä","ADP","VERB","1","s106.41","tdt_all_gov_target","15135"
"case-X","case","root","lisäksi","tarvitaan","lisäksi","tarvita","ADP","VERB","2","s106.46","tdt_all_gov_target","15135"
"X-case","root","case","tarvitaan","päässä","tarvita","päässä","VERB","ADP","6","t044.1","tdt_all_gov_target","15135"
"X-case","root","case","korkeammalla","ennen","korkea","ennen","ADJ","ADP","2","t044.7","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","kaksikielisillä","mukaan","kaksikielinen","ADP","ADJ","1","u019.7","tdt_all_gov_target","15135"
"X-case","xcomp:ds","case","ymmärtää","kautta","ymmärtää","kautta","VERB","ADP","2","u019.9","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","selviteltiin","kautta","selvitellä","kautta","VERB","ADP","13","u019.13","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","mielekästä","mukaan","mielekäs","ADP","ADJ","1","u019.16","tdt_all_gov_target","15135"
"X-case","obl","case","yhteistyössä","kanssa","yhteis#työ","kanssa","NOUN","ADP","5","u031.10","tdt_all_gov_target","15135"
"X-case","conj","case","jatkanut","saakka","jatkaa","saakka","VERB","ADP","5","w002.5","tdt_all_gov_target","15135"
"case-X","case","nsubj:cop","ohella","elokuvia","ohella","elo#kuva","ADP","NOUN","2","w031.4","tdt_all_gov_target","15135"
"case-X","case","root","kanssa","ehdolla","kanssa","ehto","ADP","NOUN","1","w031.6","tdt_all_gov_target","15135"
"X-case","nsubj:cop","case","yksi","ohella","yksi","ohella","PRON","ADP","15","w041.2","tdt_all_gov_target","15135"
"X-case","root","case","käytiin","välillä","käydä","välillä","VERB","ADP","5","w043.11","tdt_all_gov_target","15135"
"X-case","root","case","eteni","jälkeen","edetä","jälkeen","VERB","ADP","4","w043.13","tdt_all_gov_target","15135"
"X-case","root","case","voitti","jälkeen","voittaa","jälkeen","VERB","ADP","5","w043.14","tdt_all_gov_target","15135"
"X-case","root","case","kaatoi","jälkeen","kaataa","jälkeen","VERB","ADP","4","w043.15","tdt_all_gov_target","15135"
"X-case","root","case","kaatoi","jälkeen","kaataa","jälkeen","VERB","ADP","3","w043.19","tdt_all_gov_target","15135"
"case-X","case","root","Ennen","herätti","ennen","herättää","ADP","VERB","4","w043.23","tdt_all_gov_target","15135"
"X-case","root","case","valittiin","huolimatta","valita","huolimatta","VERB","ADP","2","w043.27","tdt_all_gov_target","15135"
"case-X","case","root","jälkeen","saatu","jälkeen","saada","ADP","VERB","1","w063.6","tdt_all_gov_target","15135"
"case-X","case","acl:relcl","jälkeen","ylellisiä","jälkeen","ylellinen","ADP","ADJ","2","w063.7","tdt_all_gov_target","15135"
"X-case","nmod","case","osastoa","lukuun","osasto","lukuun","NOUN","ADV","1","w063.8","tdt_all_gov_target","15135"
"case-X","case","root","Ennen","saavutti","ennen","saavuttaa","ADP","VERB","4","w098.3","tdt_all_gov_target","15135"
"X-case","conj","case","taisteli","vastaan","taistella","vastaan","VERB","ADP","3","w137.5","tdt_all_gov_target","15135"
"X-case","xcomp","case","taistelemaan","vastaan","taistella","vastaan","VERB","ADP","4","w137.7","tdt_all_gov_target","15135"
"case-X","case","root","jälkeen","hylkäsi","jälkeen","hylätä","ADP","VERB","2","w137.7","tdt_all_gov_target","15135"
"X-case","root","case","taistelee","vastaan","taistella","vastaan","VERB","ADP","3","w137.10","tdt_all_gov_target","15135"
"X-case","root","case","taistelee","vastaan","taistella","vastaan","VERB","ADP","9","w137.11","tdt_all_gov_target","15135"
"X-case","root","case","sai","mukaan","saada","mukaan","VERB","ADP","11","w177.3","tdt_all_gov_target","15135"
"case-X","case","root","asti","Kadijivka","asti","Kadijivka","ADP","PROPN","4","w177.4","tdt_all_gov_target","15135"
"X-case","root","case","toimii","kanssa","toimia","kanssa","VERB","ADP","7","w182.8","tdt_all_gov_target","15135"
"X-case","advcl","case","yhteydessä","kanssa","yhteys","kanssa","NOUN","ADP","2","w182.10","tdt_all_gov_target","15135"
"X-case","root","case","myydä","kautta","myydä","kautta","VERB","ADP","5","w182.11","tdt_all_gov_target","15135"
"case-X","case","root","ulkopuolelta","asiakas","ulkopuolelta","asiakas","ADP","NOUN","4","w182.14","tdt_all_gov_target","15135"
"X-case","root","case","asiakas","sisällä","asiakas","sisällä","NOUN","ADP","5","w182.15","tdt_all_gov_target","15135"
"X-case","amod","case","ensimmäinen","sitten","ensimmäinen","sitten","ADJ","ADP","6","w198.2","tdt_all_gov_target","15135"
"case-X","case","root","ohella","tehneet","ohella","tehdä","ADP","VERB","1","w198.3","tdt_all_gov_target","15135"
"case-X","case","obl","sitten","Enamorado","sitten","Enamorado","ADV","PROPN","4","w198.13","tdt_all_gov_target","15135"
"X-case","xcomp:ds","case","ladata","kautta","ladata","kautta","VERB","ADP","2","w198.15","tdt_all_gov_target","15135"
"X-case","root","case","Mielenosoitus","puolesta","mielen#osoitus","puolesta","NOUN","ADP","3","wn020.1","tdt_all_gov_target","15135"
"X-case","root","case","järjestivät","puolesta","järjestää","puolesta","VERB","ADP","5","wn020.3","tdt_all_gov_target","15135"
"X-case","root","case","kulkivat","edestä","kulkea","edestä","VERB","ADP","2","wn020.4","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","tulisi","mukaan","tulla","ADP","VERB","2","wn020.6","tdt_all_gov_target","15135"
"case-X","case","root","vuoksi","poistui","vuoksi","poistua","ADP","VERB","3","wn020.11","tdt_all_gov_target","15135"
"X-case","root","case","solmi","kanssa","solmia","kanssa","VERB","ADP","7","wn020.12","tdt_all_gov_target","15135"
"X-case","root","case","ajanut","lähtien","ajaa","lähtien","VERB","ADP","4","wn034.4","tdt_all_gov_target","15135"
"case-X","case","conj","huolimatta","saavuttanut","huolimatta","saavuttaa","ADP","VERB","4","wn034.4","tdt_all_gov_target","15135"
"X-case","root","case","Työskentelemme","eteen","työskennellä","eteen","VERB","ADP","2","wn034.9","tdt_all_gov_target","15135"
"case-X","case","root","mukana","matkustaa","mukana","matkustaa","ADP","VERB","1","wn071.5","tdt_all_gov_target","15135"
"X-case","root","case","perunut","vuoksi","perua","vuoksi","VERB","ADP","5","wn071.6","tdt_all_gov_target","15135"
"case-X","case","nsubj","sijaan","Tarja","sijaan","Tarja","ADP","PROPN","2","wn071.6","tdt_all_gov_target","15135"
"X-case","obl","case","Itä-Ranskassa","lähellä","Itä-Ranska","lähellä","PROPN","ADP","1","wn087.2","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","kuljettaja","mukaan","kuljettaja","ADP","NOUN","2","wn087.5","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","suistui","mukaan","suistua","ADP","VERB","2","wn087.6","tdt_all_gov_target","15135"
"case-X","case","acl","varten","suunnitelluilla","varten","suunnitella","ADP","VERB","1","wn087.8","tdt_all_gov_target","15135"
"X-case","root","case","uudistettu","varten","uudistaa","varten","VERB","ADP","2","wn087.9","tdt_all_gov_target","15135"
"X-case","root","case","tyhjä","lukuunottamatta","tyhjä","lukuunottamatta","ADJ","ADP","7","b107.5","tdt_all_gov_target","15135"
"X-case","root","case","toimii","vastaan","toimia","vastaan","VERB","ADP","2","b107.20","tdt_all_gov_target","15135"
"X-case","root","case","hiljaiseloa","suhteen","hiljais#elo","suhteen","NOUN","ADP","2","b308.2","tdt_all_gov_target","15135"
"X-case","root","case","matkalla","läpi","matka","läpi","NOUN","ADP","4","b308.3","tdt_all_gov_target","15135"
"X-case","ccomp","case","pääsen","pariin","päästä","pariin","VERB","ADP","4","b308.9","tdt_all_gov_target","15135"
"case-X","case","root","sitten","totesin","sitten","todeta","ADP","VERB","1","b308.12","tdt_all_gov_target","15135"
"X-case","nsubj:cop","case","pakkanen","kera","pakkanen","kera","NOUN","ADP","2","b308.14","tdt_all_gov_target","15135"
"X-case","root","case","keskustelivat","sitten","keskustella","sitten","VERB","ADP","3","b402.6","tdt_all_gov_target","15135"
"X-case","advcl","case","askareissaan","ääressä","askare","ääressä","NOUN","ADP","7","b402.8","tdt_all_gov_target","15135"
"X-case","root","case","tuominen","kanssa","tuominen","kanssa","NOUN","ADP","6","b402.53","tdt_all_gov_target","15135"
"case-X","case","root","jälkeen","tuominen","jälkeen","tuominen","ADP","NOUN","2","b402.53","tdt_all_gov_target","15135"
"X-case","ccomp","case","tulee","alle","tulla","alle","VERB","ADP","3","b402.54","tdt_all_gov_target","15135"
"X-case","root","case","tyydytys","ennen","tyydytys","ennen","NOUN","ADP","1","b402.63","tdt_all_gov_target","15135"
"X-case","conj","case","tyydytys","ennen","tyydytys","ennen","NOUN","ADP","1","b402.63","tdt_all_gov_target","15135"
"X-case","root","case","hyväilyä","vuoksi","hyväily","vuoksi","NOUN","ADP","3","b402.66","tdt_all_gov_target","15135"
"X-case","ccomp","case","hyväksi","sijaan","hyvä","sijaan","ADJ","ADP","9","b402.72","tdt_all_gov_target","15135"
"case-X","case","acl:relcl","jälkeen","toimittaa","jälkeen","toimittaa","ADP","VERB","2","e1024.3","tdt_all_gov_target","15135"
"case-X","case","root","jälkeen","laatii","jälkeen","laatia","ADP","VERB","2","e1024.4","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","tehtävänä","mukaan","tehtävä","ADP","NOUN","4","e1024.5","tdt_all_gov_target","15135"
"X-case","xcomp","case","olla","kanssa","olla","kanssa","VERB","ADP","6","e1028.1","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","kriittisiä","suhteen","kriittinen","suhteen","ADJ","ADP","2","e1028.2","tdt_all_gov_target","15135"
"case-X","case","conj","vuoksi","epärealistista","vuoksi","epä#realistinen","ADP","ADJ","2","e1028.5","tdt_all_gov_target","15135"
"case-X","case","root","lisäksi","tärkeää","lisäksi","tärkeä","ADP","ADJ","2","e1046.16","tdt_all_gov_target","15135"
"X-case","obl","case","bruttokansantuotteen","rinnalle","brutto#kansan#tuote","rinta","NOUN","NOUN","1","e1046.22","tdt_all_gov_target","15135"
"X-case","advcl","case","tarkastellaan","vasten","tarkastella","vasten","VERB","ADP","6","e1073.1","tdt_all_gov_target","15135"
"X-case","advcl","case","tarkastellaan","välillä","tarkastella","välillä","VERB","ADP","5","e1073.3","tdt_all_gov_target","15135"
"case-X","case","acl","nojalla","myönnetyt","nojalla","myöntää","ADP","VERB","2","e1073.6","tdt_all_gov_target","15135"
"X-case","root","case","osallistuvat","kautta","osallistua","kautta","VERB","ADP","7","e1073.9","tdt_all_gov_target","15135"
"X-case","conj","case","löi","vasten","lyödä","vasten","VERB","ADP","1","f501.2","tdt_all_gov_target","15135"
"X-case","conj","case","lensivät","saakka","lentää","saakka","VERB","ADP","7","f501.6","tdt_all_gov_target","15135"
"X-case","advmod","case","Täällä","päin","täällä","päin","ADV","ADP","1","f501.8","tdt_all_gov_target","15135"
"X-case","root","case","kurottaa","alta","kurottaa","alta","VERB","ADP","2","f501.12","tdt_all_gov_target","15135"
"X-case","conj","case","kurkistaa","alle","kurkistaa","alle","VERB","ADP","4","f501.12","tdt_all_gov_target","15135"
"X-case","root","case","Laitan","sisään","laittaa","sisään","VERB","ADP","3","f501.14","tdt_all_gov_target","15135"
"X-case","advcl","case","päästäkseni","lävitse","päästä","lävitse","VERB","ADP","2","fC01.3","tdt_all_gov_target","15135"
"X-case","advcl","case","ennätin","eteensä","ennättää","eteen","VERB","ADP","2","fC01.4","tdt_all_gov_target","15135"
"X-case","conj","case","ahtauduin","viereen","ahtautua","viereen","VERB","ADP","4","fC01.6","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","istuin","viereensä","istua","viereen","VERB","ADP","2","fC01.8","tdt_all_gov_target","15135"
"X-case","xcomp","case","pujottautumaan","ohitseen","pujottautua","ohitse","VERB","ADP","3","fC01.8","tdt_all_gov_target","15135"
"X-case","conj","case","suli","päällä","sulaa","päällä","VERB","ADP","2","fC01.27","tdt_all_gov_target","15135"
"X-case","xcomp:ds","case","saapua","mennessä","saapua","mennessä","VERB","ADP","4","fD01.4","tdt_all_gov_target","15135"
"X-case","root","case","levisi","pariin","levitä","pariin","VERB","ADP","3","fD01.6","tdt_all_gov_target","15135"
"X-case","root","case","kilpailisit","kanssa","kilpailla","kanssa","VERB","ADP","3","fD01.12","tdt_all_gov_target","15135"
"X-case","obj","case","tunteitaan","kohtaan","tunne","kohtaan","NOUN","ADP","2","fD01.18","tdt_all_gov_target","15135"
"X-case","root","case","saapuivat","luokse","saapua","luokse","VERB","ADP","5","fD01.24","tdt_all_gov_target","15135"
"X-case","nsubj:cop","case","Vesi","ympärillä","vesi","ympärillä","NOUN","ADP","2","fD01.25","tdt_all_gov_target","15135"
"case-X","case","root","jälkeen","löysivät","jälkeen","löytää","ADP","VERB","2","fD01.26","tdt_all_gov_target","15135"
"X-case","xcomp","case","katsomaan","yli","katsoa","yli","VERB","ADP","3","fD01.29","tdt_all_gov_target","15135"
"case-X","case","root","luokseen","saapui","luokse","saapua","ADP","VERB","1","fD01.36","tdt_all_gov_target","15135"
"X-case","root","case","sukelsi","peräänsä","sukeltaa","perään","VERB","ADP","2","fD01.60","tdt_all_gov_target","15135"
"X-case","root","case","ui","kohti","uida","kohti","VERB","ADP","1","fD01.61","tdt_all_gov_target","15135"
"X-case","advcl","case","pääsi","luokse","päästä","luokse","VERB","ADP","2","fD01.61","tdt_all_gov_target","15135"
"X-case","xcomp","case","uitua","luokse","uida","luokse","VERB","ADP","2","fD01.63","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","lähtenyt","ilman","lähteä","ilman","VERB","ADP","3","fD01.66","tdt_all_gov_target","15135"
"X-case","obl","case","matkasta","yli","matka","yli","NOUN","ADP","2","fD01.67","tdt_all_gov_target","15135"
"X-case","advcl","case","lähtisi","kohti","lähteä","kohti","VERB","ADP","3","fD01.68","tdt_all_gov_target","15135"
"X-case","obl","case","matkallaan","alle","matka","alle","NOUN","ADP","2","fD01.69","tdt_all_gov_target","15135"
"X-case","root","case","saapui","ympäri","saapua","ympäri","VERB","ADP","3","fD01.71","tdt_all_gov_target","15135"
"X-case","root","case","eteni","poikki","edetä","poikki","VERB","ADP","2","h1044.19","tdt_all_gov_target","15135"
"X-case","root","case","tosissaan","kanssa","tosissaan","kanssa","ADV","ADP","2","h1053.14","tdt_all_gov_target","15135"
"case-X","case","root","varaan","uskallettava","varaan","uskaltaa","ADP","VERB","1","h1053.20","tdt_all_gov_target","15135"
"X-case","root","case","Lisätään","alle","lisätä","alle","VERB","ADP","10","j014.11","tdt_all_gov_target","15135"
"X-case","parataxis","case","lisätään","alle","lisätä","alle","VERB","ADP","5","j014.14","tdt_all_gov_target","15135"
"case-X","case","acl","alla","oleva","alla","olla","ADP","VERB","1","j014.14","tdt_all_gov_target","15135"
"case-X","case","root","puolesta","Yves-Thibault","puolesta","Yves-Thibault","ADP","PROPN","1","j014.18","tdt_all_gov_target","15135"
"X-case","nmod","case","muuttamisesta","varten","muuttaminen","varten","NOUN","ADP","7","j015.1","tdt_all_gov_target","15135"
"X-case","ccomp","case","tehtiin","varten","tehdä","varten","VERB","ADP","7","j015.2","tdt_all_gov_target","15135"
"case-X","case","conj","vastaan","rokoteta","vastaan","rokottaa","ADP","VERB","1","j015.5","tdt_all_gov_target","15135"
"X-case","obj","case","rokotuksia","vastaan","rokotus","vastaan","NOUN","ADP","3","j015.6","tdt_all_gov_target","15135"
"X-case","acl:relcl","case","tehtiin","asti","tehdä","asti","VERB","ADP","12","j015.6","tdt_all_gov_target","15135"
"case-X","case","root","puolesta","Franz","puolesta","Franz","ADP","PROPN","1","j015.22","tdt_all_gov_target","15135"
"X-case","root","case","poistuivat","sitten","poistua","sitten","VERB","ADP","4","s101.4","tdt_all_gov_target","15135"
"case-X","case","acl","saakka","piinanneesta","saakka","piinata","ADP","VERB","1","s101.4","tdt_all_gov_target","15135"
"case-X","case","root","ohella","määrä","ohella","määrä","ADP","NOUN","7","s101.7","tdt_all_gov_target","15135"
"X-case","root","case","määrä","mukana","määrä","mukana","NOUN","ADP","10","s101.8","tdt_all_gov_target","15135"
"X-case","nsubj","case","Tulos","ennen","tulos","ennen","NOUN","ADP","1","t008.3","tdt_all_gov_target","15135"
"X-case","nsubj","case","Liikevoitto","ilman","liike#voitto","ilman","NOUN","ADP","1","t008.6","tdt_all_gov_target","15135"
"X-case","nsubj","case","Tulos","ennen","tulos","ennen","NOUN","ADP","1","t008.8","tdt_all_gov_target","15135"
"X-case","nsubj","case","tulos","ilman","tulos","ilman","NOUN","ADP","1","t008.9","tdt_all_gov_target","15135"
"case-X","case","root","huolimatta","parani","huolimatta","parantua","ADP","VERB","5","t008.10","tdt_all_gov_target","15135"
"X-case","nsubj","case","liikevoittonsa","ilman","liike#voitto","ilman","NOUN","ADP","1","t008.14","tdt_all_gov_target","15135"
"X-case","root","case","säilyy","mukaan","säilyä","mukaan","VERB","ADP","3","t008.15","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","vakaat","mukaan","vakaa","ADP","ADJ","8","t008.16","tdt_all_gov_target","15135"
"case-X","case","root","sitten","otettiin","sitten","ottaa","ADP","VERB","1","t015.2","tdt_all_gov_target","15135"
"X-case","advcl","case","Takoessaan","sitten","takoa","sitten","VERB","ADP","7","t015.3","tdt_all_gov_target","15135"
"X-case","ccomp","case","jaetaan","välillä","jakaa","välillä","VERB","ADP","7","t015.4","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","tarkoittaa","mukaan","tarkoittaa","ADP","VERB","2","t015.4","tdt_all_gov_target","15135"
"case-X","case","root","perässä","tulevat","perässä","tulla","ADP","VERB","1","t015.6","tdt_all_gov_target","15135"
"case-X","case","root","mukaan","liitto","mukaan","liitto","ADP","NOUN","3","t015.9","tdt_all_gov_target","15135"
"X-case","root","case","askel","kohti","askel","kohti","NOUN","ADP","1","t015.10","tdt_all_gov_target","15135"
