"order","relfirst","relsecond","tokenfirst","tokensecond","lemmafirst","lemmasecond","uposfirst","upossecond","hmLength","sentence","source","size"
"case-X","case","obl","sisään","vuoden","sisään","vuosi","ADP","NOUN","1","f604.10","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ääressä","pöydän","ääressä","pöytä","ADP","NOUN","1","f604.18","tdt_all_to_prep_target","15129"
"case-X","case","obl","ilman","arvailuja","ilman","arvailu","ADP","NOUN","2","f604.24","tdt_all_to_prep_target","15129"
"case-X","case","obl","päästä","vuoden","päästä","vuosi","ADP","NOUN","2","f604.28","tdt_all_to_prep_target","15129"
"case-X","case","obl","tasalla","ajan","tasalla","aika","ADP","NOUN","1","fC04.8","tdt_all_to_prep_target","15129"
"X-case","nmod","case","sen","myötä","se","myötä","PRON","ADP","1","fC04.10","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","lämpenemisen","vuoksi","lämpeneminen","ADP","NOUN","7","fC04.10","tdt_all_to_prep_target","15129"
"case-X","case","obl","lävitse","oven","lävitse","ovi","ADP","NOUN","2","fC04.14","tdt_all_to_prep_target","15129"
"case-X","case","nmod","lisäksi","toimistobiosfäärin","lisäksi","toimisto#bio#sfääri","ADP","NOUN","1","fC04.17","tdt_all_to_prep_target","15129"
"case-X","case","obl","sijaan","Sen","sijaan","se","ADP","PRON","1","fC04.24","tdt_all_to_prep_target","15129"
"case-X","case","obl","keskellä","yötä","keskellä","yö","ADP","NOUN","1","h1008.1","tdt_all_to_prep_target","15129"
"case-X","case","obl","paitsi","kiertueelle","paitsi","kiertue","ADP","NOUN","1","h1008.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","Ansaksen","kanssa","Ansas","ADP","PROPN","1","h1008.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","ilman","lupaa","ilman","lupa","ADP","NOUN","1","h1014.21","tdt_all_to_prep_target","15129"
"case-X","case","root","mukaan","vararehtorin","mukaan","vara#rehtori","ADP","NOUN","2","h1016.7","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","Asiakirjojen","mukaan","asia#kirja","ADP","NOUN","1","h1034.14","tdt_all_to_prep_target","15129"
"X-case","obl","case","yläreunan","saakka","ylä#reuna","saakka","NOUN","ADP","1","h1034.16","tdt_all_to_prep_target","15129"
"case-X","case","obl","lähelle","yläreunan","lähelle","ylä#reuna","ADP","NOUN","2","h1034.16","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","Sahin","mukaan","Sahi","ADP","PROPN","1","h1042.10","tdt_all_to_prep_target","15129"
"case-X","case","nmod","jälkeen","erikoiskoe","jälkeen","erikois#koe","ADP","NOUN","1","h1042.15","tdt_all_to_prep_target","15129"
"case-X","case","obl","pitkin","vierustoja","pitkin","vierusta","ADP","NOUN","2","h1042.24","tdt_all_to_prep_target","15129"
"case-X","case","root","kanssas","sun","kanssa","sinä","ADP","PRON","3","h1071.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","vuotta","sitten","vuosi","ADP","NOUN","2","h1071.10","tdt_all_to_prep_target","15129"
"case-X","case","nmod","varten","toteuttamista","varten","toteuttaminen","ADP","NOUN","2","j002.2","tdt_all_to_prep_target","15129"
"case-X","case","nmod","varten","toteuttamista","varten","toteuttaminen","ADP","NOUN","2","j002.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","tämän","vuoksi","tämä","ADP","PRON","1","j002.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","lisäksi","määritelmien","lisäksi","määritelmä","ADP","NOUN","2","j002.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","ennen","laatimista","ennen","laatiminen","ADP","NOUN","2","j002.11","tdt_all_to_prep_target","15129"
"case-X","case","obl","ennen","allekirjoittamista","ennen","allekirjoittaminen","ADP","NOUN","1","j002.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","puitteissa","valvontaohjelmien","puitteissa","valvonta#ohjelma","ADP","NOUN","1","j002.15","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","lainsäädännön","mukaan","lain#säädäntö","ADP","NOUN","2","j002.15","tdt_all_to_prep_target","15129"
"case-X","case","obl","välillä","yhteisön","välillä","yhteisö","ADP","NOUN","1","j002.29","tdt_all_to_prep_target","15129"
"case-X","case","obl","ennen","31","ennen","31","ADP","NUM","1","j002.34","tdt_all_to_prep_target","15129"
"case-X","case","nmod","puolesta","Neuvoston","puolesta","neuvosto","ADP","NOUN","1","j002.45","tdt_all_to_prep_target","15129"
"case-X","case","nmod","kohti","kulinariaa","kohti","kulinaria","ADP","NOUN","1","s106.1","tdt_all_to_prep_target","15129"
"case-X","case","obl","suhteen","Raaka-aineiden","suhteen","raaka#aine","ADP","NOUN","1","s106.23","tdt_all_to_prep_target","15129"
"case-X","case","obl","suhteen","Lihan","suhteen","liha","ADP","NOUN","1","s106.25","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","Raaka-aineiden","kanssa","raaka#aine","ADP","NOUN","1","s106.27","tdt_all_to_prep_target","15129"
"case-X","case","obl","puolesta","onnistumisen","puolesta","onnistuminen","ADP","NOUN","1","s106.33","tdt_all_to_prep_target","15129"
"case-X","case","obl","sisään","suolen","sisään","suoli","ADP","NOUN","1","s106.36","tdt_all_to_prep_target","15129"
"case-X","case","obl","huolimatta","riskeistä","huolimatta","riski","ADP","NOUN","2","s106.41","tdt_all_to_prep_target","15129"
"case-X","case","nmod","sitten","vuosi","sitten","vuosi","ADP","NOUN","1","s106.41","tdt_all_to_prep_target","15129"
"case-X","case","obl","lisäksi","apuleipurien","lisäksi","apu#leipuri","ADP","NOUN","2","s106.46","tdt_all_to_prep_target","15129"
"case-X","case","root","päässä","henkäyksen","päässä","henkäys","ADP","NOUN","3","t044.1","tdt_all_to_prep_target","15129"
"case-X","case","advcl","ennen","pelastuspakettia","ennen","pelastus#paketti","ADP","NOUN","3","t044.7","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","tulosten","mukaan","tulos","ADP","NOUN","2","u019.7","tdt_all_to_prep_target","15129"
"case-X","case","obl","kautta","oppimisprosessin","kautta","oppimis#prosessi","ADP","NOUN","1","u019.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","kautta","erottamisen","kautta","erottaminen","ADP","NOUN","10","u019.13","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","Peltolan","mukaan","Peltola","ADP","PROPN","1","u019.16","tdt_all_to_prep_target","15129"
"case-X","case","nmod","kanssa","laitoksen","kanssa","laitos","ADP","NOUN","3","u031.10","tdt_all_to_prep_target","15129"
"case-X","case","obl","saakka","2000-luvulle","saakka","2000#luku","ADP","NOUN","2","w002.5","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ohella","Lumiukon","ohella","lumi#ukko","ADP","NOUN","1","w031.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","jäsenten","kanssa","jäsen","ADP","NOUN","2","w031.6","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ohella","Miyavin","ohella","Miyav","ADP","PROPN","1","w041.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","välillä","Argentiinan","välillä","Argentiina","ADP","PROPN","1","w043.11","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","rangaistuspotkukilpailun","jälkeen","rangaistus#potku#kilpailu","ADP","NOUN","1","w043.13","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","tasapelin","jälkeen","tasa#peli","ADP","NOUN","2","w043.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","vaiheiden","jälkeen","vaihe","ADP","NOUN","2","w043.15","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","rangaistuspotkukilpailun","jälkeen","rangaistus#potku#kilpailu","ADP","NOUN","1","w043.19","tdt_all_to_prep_target","15129"
"case-X","case","obl","Ennen","loppuottelua","ennen","loppu#ottelu","ADP","NOUN","1","w043.23","tdt_all_to_prep_target","15129"
"case-X","case","obl","huolimatta","finaalitappiosta","huolimatta","finaali#tappio","ADP","NOUN","1","w043.27","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","sen","jälkeen","se","ADP","PRON","1","w063.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","sodan","jälkeen","sota","ADP","NOUN","1","w063.7","tdt_all_to_prep_target","15129"
"X-case","nmod","case","osastoa","lukuun","osasto","lukuun","NOUN","ADV","1","w063.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","Ennen","siirtymistään","ennen","siirtyminen","ADP","NOUN","2","w098.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastaan","Son","vastaan","Son","ADP","PROPN","1","w137.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","Turnauksen","jälkeen","turnaus","ADP","NOUN","1","w137.7","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastaan","Piccoloa","vastaan","Piccolo","ADP","PROPN","3","w137.7","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastaan","Nappaa","vastaan","Nappa","ADP","PROPN","2","w137.10","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastaan","Celliä","vastaan","Cell","ADP","PROPN","2","w137.11","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","sankarin","mukaan","sankari","ADP","NOUN","4","w177.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","asti","Siihen","asti","se","ADP","PRON","1","w177.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","yrityksen","kanssa","yritys","ADP","NOUN","2","w182.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","toimittajan","kanssa","toimittaja","ADP","NOUN","1","w182.10","tdt_all_to_prep_target","15129"
"case-X","case","obl","kautta","tukku-","kautta","tukku","ADP","NOUN","1","w182.11","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ulkopuolelta","yrityksen","ulkopuolelta","yritys","ADP","NOUN","1","w182.14","tdt_all_to_prep_target","15129"
"case-X","case","root","sisällä","yrityksen","sisällä","yritys","ADP","NOUN","3","w182.15","tdt_all_to_prep_target","15129"
"case-X","case","nmod","sitten","vuoden","sitten","vuosi","ADP","NOUN","1","w198.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","ohella","Sean","ohella","Sean","ADP","PROPN","2","w198.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","Enamorado","sitten","Enamorado","ADV","PROPN","4","w198.13","tdt_all_to_prep_target","15129"
"case-X","case","obl","kautta","internetin","kautta","internet","ADP","NOUN","1","w198.15","tdt_all_to_prep_target","15129"
"case-X","case","nmod","puolesta","ihmisoikeuksien","puolesta","ihmis#oikeus","ADP","NOUN","2","wn020.1","tdt_all_to_prep_target","15129"
"case-X","case","obl","puolesta","uiguurien","puolesta","uiguuri","ADP","NOUN","1","wn020.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","edestä","Kiasman","edestä","Kiasma","ADP","PROPN","1","wn020.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","Abdullah","mukaan","Abdullah","ADP","PROPN","2","wn020.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","Levottomuuksien","vuoksi","levottomuus","ADP","NOUN","1","wn020.11","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","yritysten","kanssa","yritys","ADP","NOUN","2","wn020.12","tdt_all_to_prep_target","15129"
"case-X","case","obl","lähtien","vuodesta","lähtien","vuosi","ADP","NOUN","1","wn034.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","huolimatta","panostuksistaan","huolimatta","panostus","ADP","NOUN","2","wn034.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","eteen","sen","eteen","se","ADP","PRON","1","wn034.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukana","seurueen","mukana","seurue","ADP","NOUN","2","wn071.5","tdt_all_to_prep_target","15129"
"case-X","case","nmod","sijaan","Sen","sijaan","se","ADP","PRON","1","wn071.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","työkiistatilanteen","vuoksi","työ#kiista#tilanne","ADP","NOUN","2","wn071.6","tdt_all_to_prep_target","15129"
"case-X","case","nmod","lähellä","rajaa","lähellä","raja","ADP","NOUN","2","wn087.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","poliisilähteiden","mukaan","poliisi#lähde","ADP","NOUN","1","wn087.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","lähteiden","mukaan","lähde","ADP","NOUN","2","wn087.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","varten","liikennettä","varten","liikenne","ADP","NOUN","2","wn087.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","varten","TGV-junia","varten","TGV#juna","ADP","NOUN","1","wn087.9","tdt_all_to_prep_target","15129"
"case-X","case","nmod","lukuunottamatta","sohvaa","lukuunottamatta","sohva","ADP","NOUN","3","b107.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastaan","ohjaajaa","vastaan","ohjaaja","ADP","NOUN","1","b107.20","tdt_all_to_prep_target","15129"
"case-X","case","nmod","suhteen","bloggaamisen","suhteen","bloggaaminen","ADP","NOUN","1","b308.2","tdt_all_to_prep_target","15129"
"case-X","case","nmod","läpi","sopeutumisprässin","läpi","sopeutumis#prässi","ADP","NOUN","2","b308.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","pariin","siivouksen","pariin","siivous","ADP","NOUN","1","b308.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","Hetki","sitten","hetki","ADP","NOUN","1","b308.12","tdt_all_to_prep_target","15129"
"case-X","case","nmod","kera","lumen","kera","lumi","ADP","NOUN","1","b308.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","aika","sitten","aika","ADP","NOUN","2","b402.6","tdt_all_to_prep_target","15129"
"case-X","case","parataxis","ääressä","tiskipöydän","ääressä","tiski#pöytä","ADP","NOUN","6","b402.8","tdt_all_to_prep_target","15129"
"case-X","case","nmod","jälkeen","iltalenkin","jälkeen","ilta#lenkki","ADP","NOUN","1","b402.53","tdt_all_to_prep_target","15129"
"case-X","case","nmod","kanssa","iltateen","kanssa","ilta#tee","ADP","NOUN","2","b402.53","tdt_all_to_prep_target","15129"
"case-X","case","obl","alle","peiton","alle","peitto","ADP","NOUN","2","b402.54","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ennen","nukkumaanmenoa","ennen","nukkumaan#meno","ADP","NOUN","1","b402.63","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ennen","ylösnousua","ennen","ylösnousu","ADP","NOUN","1","b402.63","tdt_all_to_prep_target","15129"
"case-X","case","nmod","vuoksi","niukkuuden","vuoksi","niukkuus","ADP","NOUN","2","b402.66","tdt_all_to_prep_target","15129"
"case-X","case","obl","sijaan","sen","sijaan","se","ADP","PRON","2","b402.72","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","minkä","jälkeen","mikä","ADP","PRON","1","e1024.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","menettelyn","jälkeen","menettely","ADP","NOUN","2","e1024.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","mukaan","Käsitykseni","mukaan","käsitys","ADP","NOUN","1","e1024.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","ehdotuksen","kanssa","ehdotus","ADP","NOUN","2","e1028.1","tdt_all_to_prep_target","15129"
"case-X","case","obl","suhteen","tupakan","suhteen","tupakka","ADP","NOUN","1","e1028.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","vuoksi","sen","vuoksi","se","ADP","PRON","1","e1028.5","tdt_all_to_prep_target","15129"
"case-X","case","obl","lisäksi","Sen","lisäksi","se","ADP","PRON","1","e1046.16","tdt_all_to_prep_target","15129"
"X-case","obl","case","bruttokansantuotteen","rinnalle","brutto#kansan#tuote","rinta","NOUN","NOUN","1","e1046.22","tdt_all_to_prep_target","15129"
"case-X","case","obl","vasten","yhdentymisprosessia","vasten","yhdentymis#prosessi","ADP","NOUN","4","e1073.1","tdt_all_to_prep_target","15129"
"case-X","case","root","välillä","ulottuvuuden","välillä","ulottuvuus","ADP","NOUN","4","e1073.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","nojalla","perustuslain","nojalla","perustus#laki","ADP","NOUN","1","e1073.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","kautta","liittoneuvoston","kautta","liitto#neuvosto","ADP","NOUN","1","e1073.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","vasten","kasvoja","vasten","kasvot","ADP","NOUN","1","f501.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","saakka","latvoihin","saakka","latva","ADP","NOUN","3","f501.6","tdt_all_to_prep_target","15129"
"X-case","advmod","case","Täällä","päin","täällä","päin","ADV","ADP","1","f501.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","alta","sillan","alta","silta","ADP","NOUN","1","f501.12","tdt_all_to_prep_target","15129"
"case-X","case","obl","alle","kaavun","alle","kaapu","ADP","NOUN","2","f501.12","tdt_all_to_prep_target","15129"
"case-X","case","obl","sisään","paitani","sisään","paita","ADP","NOUN","1","f501.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","lävitse","väkijoukon","lävitse","väki#joukko","ADP","NOUN","1","fC01.3","tdt_all_to_prep_target","15129"
"case-X","case","obl","eteensä","hänen","eteen","hän","ADP","PRON","1","fC01.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","viereen","miehen","viereen","mies","ADP","NOUN","2","fC01.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","viereensä","hänen","viereen","hän","ADP","PRON","1","fC01.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","ohitseen","hänen","ohitse","hän","ADP","PRON","1","fC01.8","tdt_all_to_prep_target","15129"
"case-X","case","obl","päällä","sen","päällä","se","ADP","PRON","1","fC01.27","tdt_all_to_prep_target","15129"
"case-X","case","obl","mennessä","täysikuuhun","mennessä","täysi#kuu","ADP","NOUN","2","fD01.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","pariin","sienensukeltajien","pariin","sieni#sukeltaja","ADP","NOUN","2","fD01.6","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","rikkauksien","kanssa","rikkaus","ADP","NOUN","2","fD01.12","tdt_all_to_prep_target","15129"
"case-X","case","nmod","kohtaan","Hypatiaa","kohtaan","Hypatia","ADP","PROPN","1","fD01.18","tdt_all_to_prep_target","15129"
"case-X","case","obl","luokse","saaren","luokse","saari","ADP","NOUN","4","fD01.24","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ympärillä","saaren","ympärillä","saari","ADP","NOUN","1","fD01.25","tdt_all_to_prep_target","15129"
"case-X","case","obl","jälkeen","koesukelluksen","jälkeen","koe#sukellus","ADP","NOUN","2","fD01.26","tdt_all_to_prep_target","15129"
"case-X","case","obl","yli","reunan","yli","reuna","ADP","NOUN","2","fD01.29","tdt_all_to_prep_target","15129"
"case-X","case","obl","luokseen","heidän","luokse","hän","ADP","PRON","1","fD01.36","tdt_all_to_prep_target","15129"
"case-X","case","obl","peräänsä","hänen","perään","hän","ADP","PRON","1","fD01.60","tdt_all_to_prep_target","15129"
"case-X","case","obl","kohti","kaupunkia","kohti","kaupunki","ADP","NOUN","4","fD01.61","tdt_all_to_prep_target","15129"
"case-X","case","obl","luokse","kaupungin","luokse","kaupunki","ADP","NOUN","1","fD01.61","tdt_all_to_prep_target","15129"
"case-X","case","obl","luokse","veneen","luokse","vene","ADP","NOUN","1","fD01.63","tdt_all_to_prep_target","15129"
"case-X","case","obl","ilman","kolikkoa","ilman","kolikko","ADP","NOUN","1","fD01.66","tdt_all_to_prep_target","15129"
"case-X","case","nmod","yli","joen","yli","joki","ADP","NOUN","1","fD01.67","tdt_all_to_prep_target","15129"
"case-X","case","obl","kohti","valtakuntaa","kohti","valta#kunta","ADP","NOUN","2","fD01.68","tdt_all_to_prep_target","15129"
"case-X","case","nmod","alle","pinnan","alle","pinta","ADP","NOUN","1","fD01.69","tdt_all_to_prep_target","15129"
"case-X","case","obl","ympäri","Kreikkaa","ympäri","Kreikka","ADP","PROPN","1","fD01.71","tdt_all_to_prep_target","15129"
"case-X","case","obl","poikki","torin","poikki","tori","ADP","NOUN","1","h1044.19","tdt_all_to_prep_target","15129"
"case-X","case","obl","kanssa","pörssikesäleirinsä","kanssa","pörssi#kesä#leiri","ADP","NOUN","1","h1053.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","varaan","niiden","varaan","se","ADP","PRON","1","h1053.20","tdt_all_to_prep_target","15129"
"case-X","case","obl","alle","otsikon","alle","otsikko","ADP","NOUN","1","j014.11","tdt_all_to_prep_target","15129"
"case-X","case","obl","alla","otsikon","alla","otsikko","ADP","NOUN","1","j014.14","tdt_all_to_prep_target","15129"
"case-X","case","obl","alle","otsikon","alle","otsikko","ADP","NOUN","1","j014.14","tdt_all_to_prep_target","15129"
"case-X","case","nmod","puolesta","Komission","puolesta","komissio","ADP","NOUN","1","j014.18","tdt_all_to_prep_target","15129"
"case-X","case","nmod","varten","tuontia","varten","tuonti","ADP","NOUN","2","j015.1","tdt_all_to_prep_target","15129"
"case-X","case","obl","varten","tuontia","varten","tuonti","ADP","NOUN","2","j015.2","tdt_all_to_prep_target","15129"
"case-X","case","obl","vastaan","tautia","vastaan","tauti","ADP","NOUN","2","j015.5","tdt_all_to_prep_target","15129"
"case-X","case","nmod","vastaan","tautia","vastaan","tauti","ADP","NOUN","2","j015.6","tdt_all_to_prep_target","15129"
"case-X","case","nummod","asti","1994","asti","1994","ADP","NUM","1","j015.6","tdt_all_to_prep_target","15129"
"case-X","case","nmod","puolesta","Komission","puolesta","komissio","ADP","NOUN","1","j015.22","tdt_all_to_prep_target","15129"
"case-X","case","obl","saakka","vuodenvaihteesta","saakka","vuoden#vaihde","ADP","NOUN","1","s101.4","tdt_all_to_prep_target","15129"
"case-X","case","obl","sitten","aikaa","sitten","aika","ADP","NOUN","3","s101.4","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ohella","toiminnan","ohella","toiminta","ADP","NOUN","3","s101.7","tdt_all_to_prep_target","15129"
"case-X","case","root","mukana","sopassa","mukana","soppa","ADP","NOUN","8","s101.8","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ennen","veroja","ennen","vero","ADP","NOUN","1","t008.3","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ilman","kertaeriä","ilman","kerta#erä","ADP","NOUN","1","t008.6","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ennen","veroja","ennen","vero","ADP","NOUN","1","t008.8","tdt_all_to_prep_target","15129"
"case-X","case","nmod","ilman","kertaeriä","ilman","kerta#erä","ADP","NOUN","1","t008.9","tdt_all_to_prep_target","15129"
"case-X","case","obl","huolimatta","Kustannuspaineista","huolimatta","kustannus#paine","ADP","NOUN","1","t008.10","tdt_all_to_prep_target","15129"
